v,a,b,wz,psi,x,y,ax,ay,xJerk
15.657337257527306,-0.8578991191697185,-0.09631262705554858,0.5591060037111499,0.9057699677161783,80.22259150007729,10.746404973682232,-0.00883748975014087,0.08820094946779511,-0.01791802734728634
15.571547345610334,-0.8735049988908627,-0.0972532707259594,0.5658588922776396,0.9616805680872933,81.30743881374815,11.885426055306754,-0.009406436704108272,0.06752888566489679,-0.018077274719811035
15.484196845721248,-0.8847775033510064,-0.09805979339019041,0.570600649446184,1.0182664573150573,82.32255600917512,13.075888794400939,-0.008065226642310044,0.047417571685443693,-0.0179219195265852
15.395719095386148,-0.8898843561664186,-0.09870766335739786,0.5723392586824648,1.0753265222596757,83.26447638503367,14.314211941488189,-0.006478699672074471,0.017386092362807748,-0.016934614018799858
15.306730659769507,-0.8860419291290011,-0.09917121411964226,0.5694592822462177,1.1325604481279221,84.1301509257474,15.596391097911013,-0.004635507622444045,-0.02879976436247178,-0.01476927202778261
15.218126466856607,-0.8721566538940438,-0.09910618277890794,0.5631059942765317,1.189506376352544,84.91713486601972,16.91800343135728,0.0006503134073432439,-0.06353287969685928,-0.013296136808919223
15.130910801467202,-0.8480750047677212,-0.0985142941544672,0.5529552352337503,1.2458169757801971,85.62341877283333,18.274404464014772,0.005918886244407368,-0.10150759042781399,-0.011672421831553592
15.04610330099043,-0.8139328078501991,-0.09736940893682942,0.5389031245073074,1.301112499303572,86.24779128246752,19.660702699421563,0.011448852176377823,-0.1405211072644299,-0.010027670606030714
14.964710020205409,-0.770349430727939,-0.0956470545778344,0.5210252575698705,1.355002811754303,86.78986734926134,21.071896845415,0.01722354358995021,-0.1787786693743687,-0.008446855044099533
14.887675077132615,-0.7184582660769201,-0.0933381741961124,0.4995429558479092,1.40710533751129,87.25010894997394,22.503011864214447,0.023088803817219967,-0.21482301721961283,-0.0069842953517786355
14.815829250524923,-0.6598341476445372,-0.09045370255297461,0.4747949529772909,1.457059633096081,87.62982124111996,23.94923343349759,0.028844716431377943,-0.2474800287061829,-0.005672451551180235
14.74984583576047,-0.5963643559548619,-0.08702412382117106,0.4472132840098279,1.50453912839381,87.931117296099,25.406034236792422,0.034295787318035564,-0.27581668967463013,-0.004527819668151412
14.690209400164983,-0.5300983696933265,-0.08309660947923789,0.41730240640512484,1.549260456794793,88.1568517476572,26.86928389899157,0.039275143419331665,-0.29910877604703057,-0.0035550942274588104
14.63719956319565,-0.46310082167350386,-0.07873133242083856,0.3856206697993289,1.5909906974353054,88.31052829888844,28.33533549620345,0.04365277058399329,-0.3168173660579592,-0.002750300413956852
14.5908894810283,-0.3973225557858753,-0.07399787912082978,0.3527632839105812,1.6295527644152383,88.39618852957935,29.801084054609447,0.04733453300008778,-0.3285738588874769,-0.0021031961879765526
14.551157225449712,-0.3344969674109888,-0.06897222927649986,0.31934581280038904,1.6648290928062965,88.41829014935294,31.26399535989545,0.05025649844329914,-0.33417471110192176,-0.0015991774672059478
14.517707528708613,-0.2760633829218314,-0.06373446277712785,0.2859869850965503,1.6967636740863354,88.38158233838323,32.722106106416454,0.052377664993720076,-0.33358827703838756,-0.0012207802089340136
14.49010119041643,-0.2231161065124834,-0.05836715033141091,0.25328919101208747,1.7253623725959906,88.29098457650531,34.17399858300527,0.05367312445716939,-0.32697794084462806,-0.0009488212498877102
14.467789579765181,-0.1764909781170408,-0.052936687800049495,0.22201565288832736,1.7506912916971993,88.15147386680096,35.61875459994438,0.05430462531361414,-0.31273538123760114,-0.000849959873404027
14.450140481953477,-0.13644121378183244,-0.047570411817160145,0.19239780232669465,1.772892856986032,87.96795890755588,37.055889696804066,0.05366275982889347,-0.2961785056163271,-0.0007817285189079259
14.436496360575294,-0.10277838878900716,-0.04235785921495804,0.1645845497940929,1.7921326372187014,87.74525135205447,38.4852924111895,0.05212552602202105,-0.2781325253260174,-0.0007266758688984354
14.426218521696393,-0.07505628051559537,-0.037358514428782776,0.13868118213118893,1.8085910921981108,87.48798000500378,39.907148605369855,0.04999344786175268,-0.25903367662903964,-0.0006799312980420302
